#L	H	K	Y	I	error	LB	dL
1.899998624849073	2.0	0.0	0.0	0.06356432032477084	5.645364271471184e-05	0.0	2.0
2.099996851344472	2.0	0.0	0.0	0.04138396085085185	4.7950151966346286e-05	0.0	2.0
2.169995683607171	2.0	0.0	0.0	0.012030906243504927	2.6276325291564742e-05	0.0	2.0
2.240002031578953	2.0	0.0	0.0	0.005261874020945617	1.7643257661335397e-05	0.0	2.0
2.310002896443157	2.0	0.0	0.0	0.00278862609933261	1.3040987588044306e-05	0.0	2.0
2.379998640107813	2.0	0.0	0.0	0.0017096558992953587	1.0370249563173635e-05	0.0	2.0
2.449997209915904	2.0	0.0	0.0	0.0011920600623447877	8.786298380465559e-06	0.0	2.0
2.519995309544966	2.0	0.0	0.0	0.001129850918394745	8.674818293130932e-06	0.0	2.0
2.58999656524395	2.0	0.0	0.0	0.0008907046582980895	7.806185256413377e-06	0.0	2.0
2.659997773753881	2.0	0.0	0.0	0.0008017262953157098	7.463743239906338e-06	0.0	2.0
2.729999122285113	2.0	0.0	0.0	0.0007354557815446184	7.2936462714575026e-06	0.0	2.0
2.799995134678481	2.0	0.0	0.0	0.0007099116212709578	7.24446597041725e-06	0.0	2.0
2.869999590235861	2.0	0.0	0.0	0.0006742312747240337	7.15322833201986e-06	0.0	2.0
2.939998757618786	2.0	0.0	0.0	0.0005165134526405832	6.336560805749372e-06	0.0	2.0
3.01000520928177	2.0	0.0	0.0	0.00038595923497022026	5.542830638561404e-06	0.0	2.0
0.2999992302273871	3.0	1.0	0.0	0.0002773315417978949	1.372327102041585e-06	1.0	2.0
0.3400001550868912	3.0	1.0	0.0	0.0003438892834673202	1.633337322038157e-06	1.0	2.0
0.3799988226818496	3.0	1.0	0.0	0.0004222531301516964	1.9234987593430493e-06	1.0	2.0
0.4199989393370354	3.0	1.0	0.0	0.0005704192427646459	2.356396762758096e-06	1.0	2.0
0.4599995618797186	3.0	1.0	0.0	0.0007353947243220225	2.81347220869412e-06	1.0	2.0
0.49999938011141	3.0	1.0	0.0	0.0009549708260385028	3.345605714480203e-06	1.0	2.0
0.5400012362492105	3.0	1.0	0.0	0.0012046741002801013	3.907306501863853e-06	1.0	2.0
0.5800018147976091	3.0	1.0	0.0	0.0015261220216737903	4.573303078641624e-06	1.0	2.0
0.619999429441918	3.0	1.0	0.0	0.0019309387561998377	5.3225346732376005e-06	1.0	2.0
0.6600004143395469	3.0	1.0	0.0	0.0025295543759538564	6.292953798487314e-06	1.0	2.0
